year,month,n_articles
2007.0,12.0,1332
2008.0,1.0,1644
2008.0,2.0,1281
2008.0,3.0,1358
2008.0,4.0,899
2008.0,5.0,1172
2008.0,6.0,1539
2008.0,7.0,1439
2008.0,8.0,893
2008.0,9.0,1211
2008.0,10.0,1178
2008.0,11.0,908
2008.0,12.0,659
2009.0,1.0,703
2009.0,2.0,1043
2009.0,3.0,850
2009.0,4.0,934
2009.0,5.0,848
2009.0,6.0,691
2009.0,7.0,793
2009.0,8.0,703
2009.0,9.0,893
2009.0,10.0,1189
2009.0,11.0,968
2009.0,12.0,2414
2010.0,1.0,979
2010.0,2.0,873
2010.0,3.0,821
2010.0,4.0,667
2010.0,5.0,735
2010.0,6.0,786
2010.0,7.0,584
2010.0,8.0,528
2010.0,9.0,701
2010.0,10.0,672
2010.0,11.0,769
2010.0,12.0,855
2011.0,1.0,698
2011.0,2.0,431
2011.0,3.0,623
2011.0,4.0,709
2011.0,5.0,441
2011.0,6.0,599
2011.0,7.0,490
2011.0,8.0,530
2011.0,9.0,532
2011.0,10.0,559
2011.0,11.0,709
2011.0,12.0,1016
2012.0,1.0,568
2012.0,2.0,564
2012.0,3.0,552
2012.0,4.0,713
2012.0,5.0,456
2012.0,6.0,545
2012.0,7.0,451
2012.0,8.0,508
2012.0,9.0,432
2012.0,10.0,511
2012.0,11.0,666
2012.0,12.0,535
2013.0,1.0,548
2013.0,2.0,607
2013.0,3.0,600
2013.0,4.0,661
2013.0,5.0,582
2013.0,6.0,585
2013.0,7.0,559
2013.0,8.0,444
2013.0,9.0,671
2013.0,10.0,589
2013.0,11.0,635
2013.0,12.0,469
2014.0,1.0,684
2014.0,2.0,559
2014.0,3.0,467
2014.0,4.0,587
2014.0,5.0,561
2014.0,6.0,656
2014.0,7.0,531
2014.0,8.0,429
2014.0,9.0,559
2014.0,10.0,659
2014.0,11.0,878
2014.0,12.0,771
2015.0,1.0,681
2015.0,2.0,580
2015.0,3.0,562
2015.0,4.0,902
2015.0,5.0,710
2015.0,6.0,947
2015.0,7.0,918
2015.0,8.0,893
2015.0,9.0,1235
2015.0,10.0,1243
2015.0,11.0,2034
2015.0,12.0,1735
2016.0,1.0,954
2016.0,2.0,909
2016.0,3.0,1193
2016.0,4.0,699
2016.0,5.0,960
2016.0,6.0,1030
2016.0,7.0,483
2016.0,8.0,825
2016.0,9.0,951
2016.0,10.0,1054
2016.0,11.0,1192
2016.0,12.0,1020
2017.0,1.0,858
2017.0,2.0,589
2017.0,3.0,789
2017.0,4.0,681
2017.0,5.0,946
2017.0,6.0,1038
2017.0,7.0,794
2017.0,8.0,667
2017.0,9.0,846
2017.0,10.0,847
2017.0,11.0,802
2017.0,12.0,721
2018.0,1.0,659
2018.0,2.0,633
2018.0,3.0,767
2018.0,4.0,817
2018.0,5.0,730
2018.0,6.0,856
2018.0,7.0,619
2018.0,8.0,847
2018.0,9.0,826
2018.0,10.0,1155
2018.0,11.0,673
2018.0,12.0,1172
2019.0,1.0,928
2019.0,2.0,845
2019.0,3.0,1006
2019.0,4.0,1696
2019.0,5.0,1655
2019.0,6.0,1575
2019.0,7.0,1186
2019.0,8.0,1476
2019.0,9.0,2217
2019.0,10.0,2348
2019.0,11.0,1890
2019.0,12.0,1562
2020.0,1.0,1610
2020.0,2.0,1582
2020.0,3.0,947
2020.0,4.0,531
2020.0,5.0,595
2020.0,6.0,614
2020.0,7.0,517
2020.0,8.0,517
2020.0,9.0,1098
2020.0,10.0,1061
2020.0,11.0,1149
2020.0,12.0,922
2021.0,1.0,999
2021.0,2.0,786
2021.0,3.0,1027
2021.0,4.0,1090
2021.0,5.0,866
2021.0,6.0,937
2021.0,7.0,1345
2021.0,8.0,1534
2021.0,9.0,1849
2021.0,10.0,1670
2021.0,11.0,2111
2021.0,12.0,984
2022.0,1.0,736
2022.0,2.0,719
2022.0,3.0,1023
2022.0,4.0,1196
2022.0,5.0,1091
2022.0,6.0,1043
2022.0,7.0,1092
2022.0,8.0,1153
2022.0,9.0,1429
2022.0,10.0,1187
2022.0,11.0,1426
2022.0,12.0,1127
2023.0,1.0,998
2023.0,2.0,718
2023.0,3.0,999
2023.0,4.0,1001
2023.0,5.0,1105
2023.0,6.0,1398
2023.0,7.0,1283
2023.0,8.0,1281
2023.0,9.0,1369
2023.0,10.0,939
2023.0,11.0,592
2023.0,12.0,547
2024.0,1.0,917
2024.0,2.0,809
2024.0,3.0,583
2024.0,4.0,663
2024.0,5.0,514
2024.0,6.0,561
2024.0,7.0,649
2024.0,8.0,551
2024.0,9.0,857
2024.0,10.0,828
2024.0,11.0,817
2024.0,12.0,556
2025.0,1.0,904
2025.0,2.0,506
2025.0,3.0,567
2025.0,4.0,21
,,30
